,manufacturer,car_name,year,no_of_owners,kms_driven,city,transmission,mileage,fuel_type,mode_of_sale,seats,engine,max_power,price,links
247,Maruti,Swift,2013,First,"72,000",lucknow,Manual,23.4,Diesel,Dealer,5,1248,74,4.35,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-2011-2014-ZDI-cars-Lucknow_BE984269BD0837AA217E8AF7CB24BEA0.htm
248,Maruti,SX4,2015,First,"50,000",lucknow,Manual,23.65,Diesel,Individual,5,1248,88.5,5.5,https://www.cardekho.com/used-car-details/used-Maruti-SX4-S-Cross-2015-2017-DDiS-200-Sigma-cars-Lucknow_888F11FF41897BFF41AE246A7A1676CE.htm
249,Maruti,800,1994,First,"3,00,000",lucknow,Manual,16.1,Petrol,Individual,4,796,37,"40,000",https://www.cardekho.com/used-car-details/used-Maruti-800-AC-cars-Lucknow_2B63D93341E636784BBB9340BCEF26BC.htm
250,Hyundai,EON,2014,First,"39,000",lucknow,Manual,21.1,Petrol,Dealer,5,814,55.2,2.35,https://www.cardekho.com/used-car-details/used-Hyundai-EON-D-Lite-Plus-Option-cars-Lucknow_395DB2BA1567903450F5D8D73719185B.htm
251,Maruti,Swift,2016,First,"63,000",lucknow,Manual,26.59,Diesel,Dealer,5,1248,74,5.65,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-2014-2017-VDI-Optional-cars-Lucknow_4472CF7FFF8D798C5D668E56903A3617.htm
252,Maruti,Alto,2009,First,"52,000",lucknow,Manual,19.7,Petrol,Dealer,5,796,46.3,1.5,https://www.cardekho.com/used-car-details/used-Maruti-Alto-LXi-cars-Lucknow_93287E899701359A55B165FA0FAB0FBD.htm
253,Maruti,SX4,2017,First,"75,000",lucknow,Manual,25.1,Diesel,Dealer,5,1248,88.5,7.75,https://www.cardekho.com/used-car-details/used-Maruti-S-Cross-2017-2020-Zeta-DDiS-200-SH-cars-Lucknow_84A94A6EB0B4A25C5A0AD9C1ACFDEFFA.htm
254,Hyundai,i20,2015,First,"45,320",lucknow,Manual,18.6,Petrol,Dealer,5,1197,81.83,6.25,https://www.cardekho.com/used-car-details/used-Hyundai-i20-2015-2017-Asta-1.2-cars-Lucknow_97B7E35C0836BD9D9F61C7323DA7545B.htm
255,Hyundai,Santro,2003,First,"52,000",lucknow,Manual,17.8,Petrol,Dealer,5,1086,63,"95,000",https://www.cardekho.com/used-car-details/used-Hyundai-Santro-Xing-XS-cars-Lucknow_F38156A476138794C6CF3AA9F8FAE135.htm
256,Hyundai,i20,2017,First,"39,503",lucknow,Manual,18.6,Petrol,Dealer,5,1197,81.83,6.75,https://www.cardekho.com/used-car-details/used-Hyundai-Elite-i20-2017-2020-1.2-Spotz-cars-Lucknow_3519EC11F08D165432C9FF5C89164697.htm
